                                                                                                    
{'loss': 4.8249, 'grad_norm': 121.13385449631014, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.0795, 'grad_norm': 30.496330412984832, 'learning_rate': 3.6231884057971017e-06, 'epoch': 0.04}
{'loss': 1.9461, 'grad_norm': 37.555202577732175, 'learning_rate': 3.768115942028986e-06, 'epoch': 0.04}
{'loss': 1.9436, 'grad_norm': 35.47144021530089, 'learning_rate': 3.91304347826087e-06, 'epoch': 0.04}
{'loss': 2.6729, 'grad_norm': 36.66124402091339, 'learning_rate': 4.057971014492754e-06, 'epoch': 0.04}
{'loss': 1.5468, 'grad_norm': 33.13794210732809, 'learning_rate': 4.202898550724638e-06, 'epoch': 0.04}
{'loss': 1.7599, 'grad_norm': 34.285211332200525, 'learning_rate': 4.347826086956522e-06, 'epoch': 0.05}
{'loss': 2.1639, 'grad_norm': 45.979128489777715, 'learning_rate': 4.492753623188406e-06, 'epoch': 0.05}
{'loss': 1.3459, 'grad_norm': 31.414895316759292, 'learning_rate': 4.637681159420291e-06, 'epoch': 0.05}
{'loss': 2.1453, 'grad_norm': 29.934557084248404, 'learning_rate': 4.782608695652174e-06, 'epoch': 0.05}
{'loss': 2.3215, 'grad_norm': 35.46343146417548, 'learning_rate': 4.927536231884059e-06, 'epoch': 0.05}
{'loss': 1.9312, 'grad_norm': 35.62503450865605, 'learning_rate': 5.072463768115943e-06, 'epoch': 0.05}
{'loss': 2.0518, 'grad_norm': 49.42147121199976, 'learning_rate': 5.2173913043478265e-06, 'epoch': 0.05}
{'loss': 1.3815, 'grad_norm': 26.20014575857502, 'learning_rate': 5.362318840579711e-06, 'epoch': 0.06}
{'loss': 1.7741, 'grad_norm': 32.162110402136015, 'learning_rate': 5.507246376811595e-06, 'epoch': 0.06}
{'loss': 2.254, 'grad_norm': 33.33008121537806, 'learning_rate': 5.652173913043479e-06, 'epoch': 0.06}
{'loss': 1.4467, 'grad_norm': 30.480664990342337, 'learning_rate': 5.797101449275363e-06, 'epoch': 0.06}
{'loss': 2.1807, 'grad_norm': 27.815768526232308, 'learning_rate': 5.942028985507247e-06, 'epoch': 0.06}
{'loss': 1.2479, 'grad_norm': 30.546824843951185, 'learning_rate': 6.086956521739132e-06, 'epoch': 0.06}
{'loss': 1.5365, 'grad_norm': 23.13474304099505, 'learning_rate': 6.2318840579710145e-06, 'epoch': 0.06}
{'loss': 2.1312, 'grad_norm': 30.076499139869593, 'learning_rate': 6.376811594202898e-06, 'epoch': 0.07}
{'loss': 1.5034, 'grad_norm': 27.21258869871593, 'learning_rate': 6.521739130434783e-06, 'epoch': 0.07}
{'loss': 1.6886, 'grad_norm': 29.37242822684988, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.07}
{'loss': 1.6127, 'grad_norm': 25.21682587286755, 'learning_rate': 6.811594202898551e-06, 'epoch': 0.07}
{'loss': 1.8093, 'grad_norm': 26.139456764488173, 'learning_rate': 6.956521739130435e-06, 'epoch': 0.07}
{'loss': 1.971, 'grad_norm': 24.389460767645982, 'learning_rate': 7.10144927536232e-06, 'epoch': 0.07}
{'loss': 1.4043, 'grad_norm': 34.407428722101066, 'learning_rate': 7.246376811594203e-06, 'epoch': 0.07}
{'loss': 1.4845, 'grad_norm': 37.26511990391937, 'learning_rate': 7.391304347826087e-06, 'epoch': 0.08}
{'loss': 1.2775, 'grad_norm': 26.588846570800445, 'learning_rate': 7.536231884057972e-06, 'epoch': 0.08}
{'loss': 1.5779, 'grad_norm': 39.02504648435889, 'learning_rate': 7.681159420289856e-06, 'epoch': 0.08}
{'loss': 2.022, 'grad_norm': 28.466514615163927, 'learning_rate': 7.82608695652174e-06, 'epoch': 0.08}
{'loss': 1.592, 'grad_norm': 32.92892398956402, 'learning_rate': 7.971014492753623e-06, 'epoch': 0.08}
{'loss': 1.5872, 'grad_norm': 29.340645415132254, 'learning_rate': 8.115942028985508e-06, 'epoch': 0.08}
{'loss': 0.9299, 'grad_norm': 23.336156157992455, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.08}
{'loss': 1.6333, 'grad_norm': 27.751993455335967, 'learning_rate': 8.405797101449275e-06, 'epoch': 0.09}
{'loss': 1.1481, 'grad_norm': 27.98828593887133, 'learning_rate': 8.55072463768116e-06, 'epoch': 0.09}
{'loss': 0.9226, 'grad_norm': 23.496669652760296, 'learning_rate': 8.695652173913044e-06, 'epoch': 0.09}
{'loss': 1.2636, 'grad_norm': 23.74150274924357, 'learning_rate': 8.840579710144929e-06, 'epoch': 0.09}
{'loss': 1.1156, 'grad_norm': 22.100114281982368, 'learning_rate': 8.985507246376812e-06, 'epoch': 0.09}
{'loss': 1.1379, 'grad_norm': 22.859475565239602, 'learning_rate': 9.130434782608697e-06, 'epoch': 0.09}
{'loss': 1.6468, 'grad_norm': 27.315660200601023, 'learning_rate': 9.275362318840581e-06, 'epoch': 0.09}
{'loss': 1.6168, 'grad_norm': 26.013058385421758, 'learning_rate': 9.420289855072464e-06, 'epoch': 0.1}
{'loss': 1.3142, 'grad_norm': 23.478053639159914, 'learning_rate': 9.565217391304349e-06, 'epoch': 0.1}
{'loss': 1.3738, 'grad_norm': 26.40935882553883, 'learning_rate': 9.710144927536233e-06, 'epoch': 0.1}
{'loss': 0.9719, 'grad_norm': 21.997040457601944, 'learning_rate': 9.855072463768118e-06, 'epoch': 0.1}
{'loss': 1.0219, 'grad_norm': 27.24447327477912, 'learning_rate': 1e-05, 'epoch': 0.1}
{'loss': 0.9442, 'grad_norm': 22.845794377243905, 'learning_rate': 9.999934975445053e-06, 'epoch': 0.1}
{'loss': 1.3911, 'grad_norm': 24.960083878515466, 'learning_rate': 9.999739903471488e-06, 'epoch': 0.11}
{'loss': 0.8069, 'grad_norm': 17.05792423881619, 'learning_rate': 9.999414789153093e-06, 'epoch': 0.11}
{'loss': 1.2429, 'grad_norm': 18.815432525700825, 'learning_rate': 9.998959640946033e-06, 'epoch': 0.11}
{'loss': 0.4613, 'grad_norm': 18.572418912738765, 'learning_rate': 9.998374470688632e-06, 'epoch': 0.11}
{'loss': 1.6787, 'grad_norm': 26.83997606565174, 'learning_rate': 9.997659293601066e-06, 'epoch': 0.11}
{'loss': 2.7336, 'grad_norm': 37.35955617068371, 'learning_rate': 9.99681412828496e-06, 'epoch': 0.11}
{'loss': 1.8297, 'grad_norm': 36.456746146539395, 'learning_rate': 9.995838996722916e-06, 'epoch': 0.11}
{'loss': 0.9537, 'grad_norm': 30.74251233823713, 'learning_rate': 9.99473392427793e-06, 'epoch': 0.12}
{'loss': 1.1291, 'grad_norm': 19.162982419845875, 'learning_rate': 9.993498939692744e-06, 'epoch': 0.12}
{'loss': 1.2564, 'grad_norm': 25.384599062825895, 'learning_rate': 9.992134075089085e-06, 'epoch': 0.12}
{'loss': 1.6999, 'grad_norm': 27.792218452668134, 'learning_rate': 9.990639365966835e-06, 'epoch': 0.12}
{'loss': 2.0045, 'grad_norm': 34.03291897649859, 'learning_rate': 9.989014851203118e-06, 'epoch': 0.12}
{'loss': 1.2724, 'grad_norm': 25.096624025194632, 'learning_rate': 9.987260573051268e-06, 'epoch': 0.12}
{'loss': 0.836, 'grad_norm': 25.012970374370536, 'learning_rate': 9.985376577139753e-06, 'epoch': 0.12}
{'loss': 1.8706, 'grad_norm': 27.971934163644587, 'learning_rate': 9.983362912470967e-06, 'epoch': 0.13}
{'loss': 0.9198, 'grad_norm': 20.36345963077775, 'learning_rate': 9.98121963141997e-06, 'epoch': 0.13}
{'loss': 1.274, 'grad_norm': 24.10856731029733, 'learning_rate': 9.978946789733126e-06, 'epoch': 0.13}
{'loss': 1.2298, 'grad_norm': 22.867310158729122, 'learning_rate': 9.976544446526634e-06, 'epoch': 0.13}
{'loss': 1.4286, 'grad_norm': 22.131482760667435, 'learning_rate': 9.97401266428502e-06, 'epoch': 0.13}
{'loss': 1.5701, 'grad_norm': 22.814696827588197, 'learning_rate': 9.971351508859488e-06, 'epoch': 0.13}
{'loss': 1.942, 'grad_norm': 24.19327695898818, 'learning_rate': 9.968561049466214e-06, 'epoch': 0.13}
{'loss': 0.7948, 'grad_norm': 20.643001255240033, 'learning_rate': 9.965641358684552e-06, 'epoch': 0.14}
{'loss': 0.618, 'grad_norm': 21.2639617155393, 'learning_rate': 9.96259251245514e-06, 'epoch': 0.14}
{'loss': 0.6896, 'grad_norm': 18.96532917134833, 'learning_rate': 9.959414590077925e-06, 'epoch': 0.14}
{'loss': 1.5957, 'grad_norm': 26.670545988696873, 'learning_rate': 9.9561076742101e-06, 'epoch': 0.14}
{'loss': 0.5603, 'grad_norm': 16.007845012111826, 'learning_rate': 9.952671850863963e-06, 'epoch': 0.14}
{'loss': 1.7337, 'grad_norm': 30.176731975292455, 'learning_rate': 9.949107209404664e-06, 'epoch': 0.14}
{'loss': 1.0001, 'grad_norm': 28.793386542635552, 'learning_rate': 9.945413842547894e-06, 'epoch': 0.14}
{'loss': 1.0897, 'grad_norm': 18.20445252227653, 'learning_rate': 9.941591846357467e-06, 'epoch': 0.15}
{'loss': 0.6589, 'grad_norm': 23.447299655957316, 'learning_rate': 9.937641320242823e-06, 'epoch': 0.15}
{'loss': 0.9985, 'grad_norm': 19.09986050342525, 'learning_rate': 9.933562366956445e-06, 'epoch': 0.15}
{'loss': 0.681, 'grad_norm': 22.55278301508696, 'learning_rate': 9.92935509259118e-06, 'epoch': 0.15}
{'loss': 1.0288, 'grad_norm': 21.287198977631483, 'learning_rate': 9.925019606577486e-06, 'epoch': 0.15}
{'loss': 1.5626, 'grad_norm': 24.08017840619862, 'learning_rate': 9.92055602168058e-06, 'epoch': 0.15}
{'loss': 0.3436, 'grad_norm': 12.42808200329366, 'learning_rate': 9.915964453997516e-06, 'epoch': 0.15}
{'loss': 1.0267, 'grad_norm': 15.686346750733062, 'learning_rate': 9.911245022954146e-06, 'epoch': 0.16}
{'loss': 1.5872, 'grad_norm': 27.40555175077103, 'learning_rate': 9.906397851302036e-06, 'epoch': 0.16}
{'loss': 1.207, 'grad_norm': 17.682879033259198, 'learning_rate': 9.901423065115254e-06, 'epoch': 0.16}
{'loss': 1.2141, 'grad_norm': 18.289268231511684, 'learning_rate': 9.896320793787106e-06, 'epoch': 0.16}
{'loss': 1.2693, 'grad_norm': 23.498282946937717, 'learning_rate': 9.89109117002676e-06, 'epoch': 0.16}
{'loss': 1.5743, 'grad_norm': 28.65132319116289, 'learning_rate': 9.885734329855798e-06, 'epoch': 0.16}
{'loss': 0.8619, 'grad_norm': 20.411543603042574, 'learning_rate': 9.880250412604681e-06, 'epoch': 0.16}
{'loss': 1.6245, 'grad_norm': 22.31597644237166, 'learning_rate': 9.874639560909118e-06, 'epoch': 0.17}
{'loss': 0.9433, 'grad_norm': 20.87262409144504, 'learning_rate': 9.868901920706366e-06, 'epoch': 0.17}
{'loss': 1.1368, 'grad_norm': 20.682628385988345, 'learning_rate': 9.863037641231424e-06, 'epoch': 0.17}
{'loss': 1.4186, 'grad_norm': 26.452708171872434, 'learning_rate': 9.857046875013154e-06, 'epoch': 0.17}
{'loss': 0.7261, 'grad_norm': 17.52146742670136, 'learning_rate': 9.850929777870324e-06, 'epoch': 0.17}
{'loss': 0.471, 'grad_norm': 18.704158334994606, 'learning_rate': 9.844686508907538e-06, 'epoch': 0.17}
{'loss': 0.6068, 'grad_norm': 20.562337718836716, 'learning_rate': 9.838317230511111e-06, 'epoch': 0.18}
{'loss': 0.4778, 'grad_norm': 14.26337437544795, 'learning_rate': 9.831822108344841e-06, 'epoch': 0.18}
{'loss': 1.322, 'grad_norm': 27.811941663418565, 'learning_rate': 9.8252013113457e-06, 'epoch': 0.18}
{'loss': 1.392, 'grad_norm': 23.54563851785662, 'learning_rate': 9.818455011719439e-06, 'epoch': 0.18}
{'loss': 0.9011, 'grad_norm': 20.72773926504818, 'learning_rate': 9.811583384936108e-06, 'epoch': 0.18}
{'loss': 1.6114, 'grad_norm': 30.959758748966532, 'learning_rate': 9.804586609725499e-06, 'epoch': 0.18}
{'loss': 0.5715, 'grad_norm': 17.69450924570419, 'learning_rate': 9.797464868072489e-06, 'epoch': 0.18}
{'loss': 1.0507, 'grad_norm': 22.344878974688115, 'learning_rate': 9.790218345212309e-06, 'epoch': 0.19}
{'loss': 2.0835, 'grad_norm': 27.834401753037504, 'learning_rate': 9.782847229625729e-06, 'epoch': 0.19}
{'loss': 1.2779, 'grad_norm': 19.0884362393319, 'learning_rate': 9.775351713034155e-06, 'epoch': 0.19}
{'loss': 0.7566, 'grad_norm': 20.07453282182835, 'learning_rate': 9.767731990394638e-06, 'epoch': 0.19}
{'loss': 0.4276, 'grad_norm': 16.07591022130798, 'learning_rate': 9.759988259894808e-06, 'epoch': 0.19}
{'loss': 0.8414, 'grad_norm': 18.999412654421615, 'learning_rate': 9.752120722947717e-06, 'epoch': 0.19}
{'loss': 1.1713, 'grad_norm': 25.046922513576806, 'learning_rate': 9.744129584186599e-06, 'epoch': 0.19}
{'loss': 0.474, 'grad_norm': 12.946625052344537, 'learning_rate': 9.736015051459551e-06, 'epoch': 0.2}
{'loss': 1.3392, 'grad_norm': 22.373406036129765, 'learning_rate': 9.727777335824124e-06, 'epoch': 0.2}
{'loss': 2.5573, 'grad_norm': 31.938201329672793, 'learning_rate': 9.719416651541839e-06, 'epoch': 0.2}
{'loss': 0.7191, 'grad_norm': 26.744050857747222, 'learning_rate': 9.710933216072602e-06, 'epoch': 0.2}
{'loss': 0.703, 'grad_norm': 17.32548529862758, 'learning_rate': 9.702327250069058e-06, 'epoch': 0.2}
{'loss': 0.4543, 'grad_norm': 16.7787478142246, 'learning_rate': 9.693598977370855e-06, 'epoch': 0.2}
{'loss': 2.1048, 'grad_norm': 27.930179959829548, 'learning_rate': 9.68474862499881e-06, 'epoch': 0.2}
{'loss': 1.0733, 'grad_norm': 28.823760608772396, 'learning_rate': 9.675776423149013e-06, 'epoch': 0.21}
{'loss': 1.0885, 'grad_norm': 42.42806211901582, 'learning_rate': 9.666682605186834e-06, 'epoch': 0.21}
{'loss': 1.489, 'grad_norm': 26.3768520628466, 'learning_rate': 9.657467407640864e-06, 'epoch': 0.21}
{'loss': 1.1373, 'grad_norm': 59.95860848638475, 'learning_rate': 9.648131070196749e-06, 'epoch': 0.21}
{'loss': 1.3691, 'grad_norm': 19.012245849650206, 'learning_rate': 9.638673835690962e-06, 'epoch': 0.21}
{'loss': 1.5031, 'grad_norm': 23.039287308769243, 'learning_rate': 9.62909595010449e-06, 'epoch': 0.21}
{'loss': 1.7416, 'grad_norm': 19.50197834664193, 'learning_rate': 9.619397662556434e-06, 'epoch': 0.21}
{'loss': 1.2161, 'grad_norm': 23.28623348419639, 'learning_rate': 9.609579225297524e-06, 'epoch': 0.22}
{'loss': 1.4244, 'grad_norm': 20.054331762261025, 'learning_rate': 9.599640893703568e-06, 'epoch': 0.22}
{'loss': 2.1811, 'grad_norm': 23.11148961989817, 'learning_rate': 9.589582926268798e-06, 'epoch': 0.22}
{'loss': 0.9553, 'grad_norm': 21.710343886096005, 'learning_rate': 9.579405584599157e-06, 'epoch': 0.22}
{'loss': 0.6879, 'grad_norm': 20.959566476231757, 'learning_rate': 9.569109133405495e-06, 'epoch': 0.22}
{'loss': 1.3321, 'grad_norm': 21.630377662469023, 'learning_rate': 9.558693840496666e-06, 'epoch': 0.22}
{'loss': 1.0776, 'grad_norm': 20.614401008547688, 'learning_rate': 9.548159976772593e-06, 'epoch': 0.22}
{'loss': 1.7432, 'grad_norm': 23.35077880039854, 'learning_rate': 9.537507816217191e-06, 'epoch': 0.23}
{'loss': 1.9328, 'grad_norm': 26.796168834438536, 'learning_rate': 9.526737635891262e-06, 'epoch': 0.23}
{'loss': 1.647, 'grad_norm': 24.51842237488564, 'learning_rate': 9.515849715925276e-06, 'epoch': 0.23}
{'loss': 1.4877, 'grad_norm': 24.045486467057984, 'learning_rate': 9.504844339512096e-06, 'epoch': 0.23}
{'loss': 1.2375, 'grad_norm': 22.632740777271305, 'learning_rate': 9.493721792899605e-06, 'epoch': 0.23}
{'loss': 0.9281, 'grad_norm': 20.297886213600886, 'learning_rate': 9.482482365383254e-06, 'epoch': 0.23}
{'loss': 1.6647, 'grad_norm': 27.572233866798037, 'learning_rate': 9.471126349298557e-06, 'epoch': 0.24}
{'loss': 0.5282, 'grad_norm': 21.402528996155773, 'learning_rate': 9.45965404001347e-06, 'epoch': 0.24}
{'loss': 1.0404, 'grad_norm': 19.09386658137909, 'learning_rate': 9.448065735920715e-06, 'epoch': 0.24}
{'loss': 1.2573, 'grad_norm': 25.172301893311598, 'learning_rate': 9.436361738430016e-06, 'epoch': 0.24}
{'loss': 1.6821, 'grad_norm': 26.64755486988545, 'learning_rate': 9.424542351960268e-06, 'epoch': 0.24}
{'loss': 0.8654, 'grad_norm': 20.650881235337177, 'learning_rate': 9.412607883931608e-06, 'epoch': 0.24}
{'loss': 0.9405, 'grad_norm': 20.65044650118587, 'learning_rate': 9.400558644757423e-06, 'epoch': 0.24}
{'loss': 0.6019, 'grad_norm': 16.284933522444113, 'learning_rate': 9.388394947836278e-06, 'epoch': 0.25}
{'loss': 1.7479, 'grad_norm': 27.046246986937845, 'learning_rate': 9.376117109543769e-06, 'epoch': 0.25}
{'loss': 1.5499, 'grad_norm': 22.3859728437272, 'learning_rate': 9.363725449224281e-06, 'epoch': 0.25}
{'loss': 1.1183, 'grad_norm': 24.086824025392463, 'learning_rate': 9.351220289182694e-06, 'epoch': 0.25}
{'loss': 1.1292, 'grad_norm': 19.699018018657725, 'learning_rate': 9.338601954675995e-06, 'epoch': 0.25}
{'loss': 0.6888, 'grad_norm': 16.663770448605117, 'learning_rate': 9.325870773904816e-06, 'epoch': 0.25}
{'loss': 1.6438, 'grad_norm': 25.550053667346283, 'learning_rate': 9.313027078004903e-06, 'epoch': 0.25}
{'loss': 1.8978, 'grad_norm': 26.125045478224685, 'learning_rate': 9.300071201038503e-06, 'epoch': 0.26}
[INFO|configuration_utils.py:491] 2025-12-18 18:52:38,876 >> Configuration saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/config.json
[INFO|configuration_utils.py:757] 2025-12-18 18:52:38,877 >> Configuration saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/generation_config.json
[INFO|modeling_utils.py:4181] 2025-12-18 18:52:41,694 >> Model weights saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/model.safetensors
[INFO|tokenization_utils_base.py:2421] 2025-12-18 18:52:41,696 >> chat template saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/chat_template.jinja
[INFO|tokenization_utils_base.py:2590] 2025-12-18 18:52:41,697 >> tokenizer config file saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/tokenizer_config.json
[INFO|tokenization_utils_base.py:2599] 2025-12-18 18:52:41,698 >> Special tokens file saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/special_tokens_map.json
/home/seohyun/.conda/envs/llama_factory/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:4876: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  warnings.warn(  # warn only once
[2025-12-18 18:52:41,974] [INFO] [logging.py:107:log_dist] [Rank 0] [Torch] Checkpoint global_step175 is about to be saved!
[2025-12-18 18:52:42,053] [INFO] [logging.py:107:log_dist] [Rank 0] Saving model checkpoint: /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/zero_pp_rank_0_mp_rank_00_model_states.pt
[2025-12-18 18:52:42,054] [INFO] [torch_checkpoint_engine.py:21:save] [Torch] Saving /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/zero_pp_rank_0_mp_rank_00_model_states.pt...
[2025-12-18 18:52:42,342] [INFO] [torch_checkpoint_engine.py:23:save] [Torch] Saved /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/zero_pp_rank_0_mp_rank_00_model_states.pt.
[2025-12-18 18:52:42,413] [INFO] [torch_checkpoint_engine.py:21:save] [Torch] Saving /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/bf16_zero_pp_rank_0_mp_rank_00_optim_states.pt...
[2025-12-18 18:52:52,420] [INFO] [torch_checkpoint_engine.py:23:save] [Torch] Saved /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/bf16_zero_pp_rank_0_mp_rank_00_optim_states.pt.
[2025-12-18 18:52:52,421] [INFO] [engine.py:3701:_save_zero_checkpoint] zero checkpoint saved /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/global_step175/bf16_zero_pp_rank_0_mp_rank_00_optim_states.pt
[2025-12-18 18:52:52,478] [INFO] [torch_checkpoint_engine.py:33:commit] [Torch] Checkpoint global_step175 is ready now!
[INFO|image_processing_base.py:253] 2025-12-18 18:52:52,486 >> Image processor saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/preprocessor_config.json
[INFO|tokenization_utils_base.py:2421] 2025-12-18 18:52:52,490 >> chat template saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/chat_template.jinja
[INFO|tokenization_utils_base.py:2590] 2025-12-18 18:52:52,495 >> tokenizer config file saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/tokenizer_config.json
[INFO|tokenization_utils_base.py:2599] 2025-12-18 18:52:52,498 >> Special tokens file saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/special_tokens_map.json
[INFO|video_processing_utils.py:600] 2025-12-18 18:52:52,705 >> Video processor saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/video_preprocessor_config.json
[INFO|processing_utils.py:814] 2025-12-18 18:52:52,709 >> chat template saved in /hub_data4/seohyun/saves/ecva_instruct/full/sft/checkpoint-175/chat_template.jinja
                                                                                                    
{'loss': 0.9861, 'grad_norm': 16.616600477049996, 'learning_rate': 9.287003479985667e-06, 'epoch': 0.26}
{'loss': 1.3292, 'grad_norm': 18.61313303413522, 'learning_rate': 9.273824254735492e-06, 'epoch': 0.26}
{'loss': 1.0049, 'grad_norm': 25.168288567608503, 'learning_rate': 9.260533868077283e-06, 'epoch': 0.26}
{'loss': 0.6376, 'grad_norm': 16.88037790219452, 'learning_rate': 9.24713266569163e-06, 'epoch': 0.26}
{'loss': 1.5271, 'grad_norm': 25.51780813779801, 'learning_rate': 9.233620996141421e-06, 'epoch': 0.26}
{'loss': 1.5593, 'grad_norm': 24.388218760404396, 'learning_rate': 9.219999210862778e-06, 'epoch': 0.26}
{'loss': 0.6284, 'grad_norm': 22.268852201110285, 'learning_rate': 9.206267664155906e-06, 'epoch': 0.27}
{'loss': 0.4844, 'grad_norm': 14.24634911104931, 'learning_rate': 9.192426713175897e-06, 'epoch': 0.27}
{'loss': 1.3564, 'grad_norm': 19.670878704831374, 'learning_rate': 9.178476717923415e-06, 'epoch': 0.27}
{'loss': 0.8523, 'grad_norm': 19.189529442314416, 'learning_rate': 9.164418041235359e-06, 'epoch': 0.27}
{'loss': 1.7055, 'grad_norm': 23.15197673314642, 'learning_rate': 9.150251048775403e-06, 'epoch': 0.27}
{'loss': 1.3974, 'grad_norm': 20.780663066059937, 'learning_rate': 9.135976109024502e-06, 'epoch': 0.27}
{'loss': 0.6848, 'grad_norm': 18.415042837611153, 'learning_rate': 9.121593593271297e-06, 'epoch': 0.27}
{'loss': 1.3175, 'grad_norm': 21.021555450673908, 'learning_rate': 9.107103875602458e-06, 'epoch': 0.28}
{'loss': 2.2902, 'grad_norm': 28.25639624639254, 'learning_rate': 9.092507332892968e-06, 'epoch': 0.28}
{'loss': 0.3374, 'grad_norm': 11.5353799467327, 'learning_rate': 9.077804344796302e-06, 'epoch': 0.28}
{'loss': 1.812, 'grad_norm': 21.66449783007457, 'learning_rate': 9.062995293734562e-06, 'epoch': 0.28}
{'loss': 1.9465, 'grad_norm': 29.56779431458385, 'learning_rate': 9.04808056488853e-06, 'epoch': 0.28}
{'loss': 0.454, 'grad_norm': 16.605894926427272, 'learning_rate': 9.033060546187651e-06, 'epoch': 0.28}
{'loss': 1.4361, 'grad_norm': 25.641655085728075, 'learning_rate': 9.017935628299934e-06, 'epoch': 0.28}
{'loss': 1.125, 'grad_norm': 15.435479691874038, 'learning_rate': 9.002706204621802e-06, 'epoch': 0.29}
{'loss': 2.229, 'grad_norm': 36.18470093312055, 'learning_rate': 8.987372671267856e-06, 'epoch': 0.29}
{'loss': 0.9142, 'grad_norm': 19.05642716135774, 'learning_rate': 8.971935427060563e-06, 'epoch': 0.29}
